# ϕ Σext Σint E Ẽ   m mt q0 q1 qt s st m̂ m̂t q̂0 q̂1 q̂t ŝ ŝt
0.3 0.62 0.0 2   0.12375225754127937 0.0 0.05463208268691177 0.0 0.0 0.007463743590498948 0.006501641902304545 0.7059619902861787 0.8601157777951665 0.6714482385939009 0.8995264432669432 0.688372657842585 8.044784209186162 10.503650771789559 0.2544317738213184 0.45894232687427977 0.4007416499600786 0.8519415113454747 0.31850386235603734
0.3 0.64 0.0 2   0.12375225755611922 0.0 0.050414730219661134 0.0 0.0 0.007410763094421178 0.006501641892557363 0.704351960878429 0.8680700711851559 0.671448238605861 0.9062111422687684 0.6876038927960477 8.015586623138107 10.503650771352023 0.2519155937044287 0.4760319704928925 0.40074164993660916 0.891257359590661 0.3169852157592595
0.3 0.66 0.0 2   0.1237522575716798 0.0 0.04606824131614395 0.0 0.0 0.007354598576979682 0.0065016418808001245 0.7026263959294583 0.8762084928489874 0.6714482386179667 0.9128926156433452 0.6867765199906064 7.989048108517155 10.50365077089803 0.24952261527105915 0.49563979544880704 0.40074164991231115 0.935237140802105 0.3155372428296223
0.3 0.68 0.0 2   0.12375225758778402 0.0 0.04156603831267924 0.0 0.0 0.007295223482760684 0.0065016418669354556 0.7007792086063844 0.8845738542834605 0.6714482386298722 0.9196009963210473 0.6858873316170099 7.965246483107984 10.503650770432628 0.24725247470326805 0.5184098121334938 0.40074164988722183 0.9850861478180204 0.3141605426216419
0.3 0.7 0.0 2   0.12375225760450484 0.0 0.03687597701917955 0.0 0.0 0.007232407765490271 0.006501641850582258 0.6987964878693488 0.8932365298871522 0.6714482386418634 0.9263848550369629 0.6849292873377812 7.944342345005237 10.503650769946434 0.245105740776995 0.5453222474817666 0.40074164986086497 1.0426256449512927 0.31285647712131
0.3 0.72 0.0 2   0.12375225762220297 0.0 0.03193760748643193 0.0 0.0 0.007165532847261925 0.006501641831120384 0.6966495789189439 0.9023200813123551 0.6714482386535 0.9333280783571068 0.6838880893961182 7.926650234229278 10.503650769448683 0.24308472359208189 0.5779975533940993 0.40074164983390936 1.1108463517744618 0.31162782513070764
0.3 0.74 0.0 2   0.12375225764146776 0.0 0.026623426527261348 0.0 0.0 0.00709311626077766 0.006501641807492585 0.6942772442189703 0.9120674831945963 0.6714482386656057 0.9405936608958971 0.682733361192083 7.912819276052886 10.503650768905784 0.2411953833618231 0.6194797768288248 0.4007416498045577 1.195330752898589 0.31048036377770766
0.3 0.76 0.0 2   0.12375225766361757 0.0 0.020623004330644346 0.0 0.0 0.007011152818007792 0.006501641776931172 0.6915235065939151 0.9230724033901473 0.6714482386798378 0.948577250948037 0.6813879315831839 7.90445218724507 10.503650768248079 0.2394533943375576 0.6769609755754115 0.40074164976889787 1.3091849533649205 0.30942801687120863
0.3 0.78 0.0 2   0.1237522574549978 0.0 0.012551859596143798 0.0 0.0 0.006900699274246769 0.006501641373037437 0.6876747780390924 0.9380067507125187 0.6714482382542748 0.9590595375453593 0.6794992452694234 7.908619374884054 10.50365077652832 0.23792415945886752 0.7820217988238507 0.40074165031524744 1.5095419641768177 0.3085279583437555
0.3 0.5 0.0 3   0.13820307111862806 0.0 0.08834239557664601 0.0 0.0 0.02500397984966807 0.02388826910677199 0.6868123485950175 0.796250648260691 0.6431641094809705 0.8455191141984096 0.6643807443138898 8.27294850691678 10.467711538243451 0.27644685014323817 0.3856112225729767 0.4051306151489985 0.666829982474517 0.33361881928688386
0.3 0.52 0.0 3   0.13820307111206648 0.0 0.08453344645942273 0.0 0.0 0.024967968954111665 0.023888269119290373 0.6859074897864775 0.803960757503097 0.6431641094680368 0.8529767505657712 0.6639645650271043 8.227997865237633 10.467711538602336 0.27317993151527087 0.3928961195003377 0.40513061517796134 0.6885013088159639 0.3316757394559746
0.3 0.54 0.0 3   0.13820307110316632 0.0 0.0806268351472017 0.0 0.0 0.02492918662348375 0.023888269130886288 0.6848669071720673 0.8117845059381367 0.643164109453023 0.8603606245272066 0.6634821007611055 8.18566072772522 10.467711539038156 0.27003597854209577 0.4011065104748999 0.4051306152132072 0.7117838485523686 0.32979977620842343
0.3 0.56 0.0 3   0.1382030710939906 0.0 0.07660118792607307 0.0 0.0 0.02488792191778696 0.02388826914142438 0.6836989187351318 0.8197207575124832 0.6431641094385693 0.8676704752041967 0.6629369575476214 8.145865701405073 10.467711539502721 0.2670131937042396 0.41033390788916396 0.40513061525239796 0.7368669832124471 0.32799025740429727
0.3 0.58 0.0 3   0.13820307108466193 0.0 0.07245876675332497 0.0 0.0 0.024844442848883735 0.02388826915092898 0.682411212298603 0.8277694996487169 0.6431641094247261 0.8749072958559995 0.662332479292172 8.108547803232943 10.467711539994092 0.2641097591407751 0.42069117427840613 0.4051306152953971 0.7639800463829846 0.3262465193669238
0.3 0.6 0.0 3   0.1382030710717503 0.0 0.06823761877772228 0.0 0.0 0.024798992550201158 0.02388826915964971 0.6810106455599555 0.8359324935922168 0.6431641094072751 0.8820737372110774 0.6616716505148004 8.073650302060523 10.467711540590512 0.2613238568130373 0.43231929960447796 0.40513061534597244 0.7934050493121831 0.3245679244536418
0.3 0.62 0.0 3   0.13820307105866217 0.0 0.06390088505281444 0.0 0.0 0.02475178379885237 0.023888269167385765 0.6795029859743497 0.8442141956111363 0.6431641093903533 0.8891746759009127 0.6609569677499862 8.041127151308583 10.467711541215483 0.2586536967038094 0.44539723041405616 0.40513061540043394 0.8254950971700564 0.3229538831361702
0.3 0.64 0.0 3   0.13820307104369162 0.0 0.0594496095213115 0.0 0.0 0.024702991060428635 0.023888269174363364 0.677892547516604 0.8526231130583848 0.6431641093726068 0.8962180550592432 0.6601902586332334 8.010946413326145 10.467711541903421 0.25609755559321046 0.4601566243645827 0.4051306154606288 0.8607019694311737 0.32140388346315457
0.3 0.66 0.0 3   0.13820307102801702 0.0 0.05488910321538309 0.0 0.0 0.02465273859941846 0.023888269180362742 0.6761816499067684 0.8611738832661501 0.643164109354183 0.9032161833424599 0.6593724121178923 7.983095369824844 10.467711542638824 0.25365383132993213 0.47690489262779373 0.4051306155257759 0.8996190954778274 0.31991753270540924
0.3 0.68 0.0 3   0.1382030710105535 0.0 0.05021503188540332 0.0 0.0 0.024601081539995122 0.023888269185510697 0.6743697515558371 0.8698906524927875 0.6431641093340905 0.9101878673403142 0.658502946514981 7.957588682249889 10.467711543445194 0.251321121894669 0.49606305016797403 0.405130615597028 0.9430519787696986 0.318494620169427
0.3 0.7 0.0 3   0.1382030709912016 0.0 0.045396411568754395 0.0 0.0 0.024547973408042437 0.023888269189774696 0.6724519509168028 0.878812947066127 0.6431641093126449 0.917162150023758 0.6575792645698888 7.934482380322315 10.467711544324564 0.2490983478425892 0.5182319019227473 0.4051306156748766 0.9921410468624523 0.31713521874356376
0.3 0.72 0.0 3   0.1382030709699 0.0 0.040403256473808824 0.0 0.0 0.024493205090080756 0.023888269193186325 0.6704161543917913 0.8880067851582225 0.6431641092894117 0.9241854385406676 0.656595248711533 7.913899997959518 10.46771154529628 0.24698495798383352 0.5443176241954781 0.40513061576094866 1.0485941795846194 0.31583986334499325
0.3 0.74 0.0 3   0.1382030709460086 0.0 0.03517651981643777 0.0 0.0 0.0244362749809104 0.02388826919588835 0.6682370531373565 0.8975883168136229 0.643164109264517 0.9313367595892812 0.6555382784226841 7.896087383864297 10.467711546359801 0.24498131467991335 0.5757984455953117 0.4051306158558885 1.1151792464193757 0.3146099011537117
0.3 0.76 0.0 3   0.13820307091859643 0.0 0.0295968444086192 0.0 0.0 0.024376062132998956 0.023888269197436543 0.6658610028299939 0.907783205466684 0.6431641092358316 0.9387662589985839 0.6543817511134877 7.881548170594326 10.467711547599873 0.24308953688750506 0.6153923655294298 0.4051306159655075 1.1969541026142365 0.31344829646741695
0.3 0.78 0.0 3   0.13820307088543052 0.0 0.02338367323106993 0.0 0.0 0.0243097398762478 0.023888269197641577 0.6631559894198436 0.9191233791005078 0.6431641092024483 0.946823283945855 0.653060351774003 7.871484332924727 10.467711549075256 0.2413158741863006 0.6692589824587061 0.405130616096054 1.3053111409579503 0.3123620354992309
0.3 0.8 0.0 3   0.1382030708379319 0.0 0.015438096834241575 0.0 0.0 0.02422596538603893 0.023888269194315682 0.6595997766738975 0.9336760763346516 0.6431641091594436 0.9568599558751019 0.6513160115534841 7.870484399682283 10.467711551077258 0.23968250023378926 0.7606670038212132 0.40513061627409075 1.4829978959020687 0.3113752165663449
0.3 0.5 0.0 4   0.1558096550152062 0.0 0.10365021057001654 0.0 0.0 0.04275239118599214 0.040777200285856775 0.662793676845769 0.7758861868568626 0.6190332024871716 0.8312428820857823 0.6402745203132788 7.962833043380974 10.070461613986405 0.25257902563949997 0.34693537548189246 0.3707047762765479 0.6044321677407036 0.30510359315592755
0.3 0.52 0.0 4   0.15580965502833508 0.0 0.09983768828880633 0.0 0.0 0.042689341385372934 0.04077720027646843 0.6620337730618444 0.7837892783336431 0.6190332024802131 0.8389217523102859 0.6399290324001039 7.918260510113501 10.070461613784945 0.24959656961421808 0.3526799620173136 0.37070477626073134 0.6228586658389867 0.3033213274791062
0.3 0.54 0.0 4   0.15580965504489688 0.0 0.09581070278263935 0.0 0.0 0.042623476713888296 0.04077720026296786 0.6611495504480481 0.7917872172749305 0.6190332024758729 0.8465073491570687 0.6395229723569997 7.876081480679258 10.070461613522424 0.24672566508913743 0.3591278837840197 0.37070477624480325 0.6425106043975279 0.3015995678571971
0.3 0.56 0.0 4   0.15580965506229166 0.0 0.09166110524760905 0.0 0.0 0.0425551822398224 0.04077720024675519 0.6601493042049055 0.7998749190512207 0.6190332024722538 0.853997652448589 0.6390599656624122 7.836226751902434 10.070461613250908 0.24396434583049392 0.36633425982046314 0.3707047762303493 0.6635091805222559 0.29993758426599243
0.3 0.58 0.0 4   0.15580965507590222 0.0 0.08743964128032909 0.0 0.0 0.042484792740764804 0.040777200234916516 0.6590409299158133 0.8080476964407052 0.6190332024657894 0.8613913629237373 0.6385434874575897 7.798631052795921 10.070461613061804 0.24131063327990268 0.37436530372749216 0.3707047762180237 0.685996675166579 0.29833464252431263
0.3 0.6 0.0 4   0.15580965508797162 0.0 0.08312763402074097 0.0 0.0 0.042412595597228125 0.040777200223957616 0.6578318278382008 0.8163015656366324 0.6190332024582347 0.8686880803108258 0.6379768162152627 7.763233878905161 10.070461612909963 0.2387625492455673 0.3833011416021877 0.37070477620754805 0.7101419057870385 0.2967900148551917
0.3 0.62 0.0 4   0.15580965509849404 0.0 0.07872851126300429 0.0 0.0 0.042338832324939485 0.040777200213888296 0.6565287922601654 0.8246336432323332 0.6190332024495766 0.8758885311365665 0.6373629786496898 7.729980491817373 10.070461612795519 0.23631813226702103 0.39323964128839145 0.37070477619895464 0.7361476156673411 0.2953029918833879
0.3 0.64 0.0 4   0.15580965510633046 0.0 0.07425293637175479 0.0 0.0 0.04226369835597773 0.04077720020649275 0.6551378756858474 0.8330426741351903 0.6190332024390475 0.8829948723122448 0.6367046810830815 7.698823183492936 10.070461612744376 0.2339754582477095 0.4043017340489737 0.37070477619267656 0.7642607162490246 0.2938728969259343
0.3 0.66 0.0 4   0.15580965511462622 0.0 0.06966898690452528 0.0 0.0 0.04218734054869206 0.040777200197309245 0.6536642117678905 0.8415297543830115 0.6190332024284896 0.8900111115808105 0.6360042195410854 7.6697229632637285 10.070461612691462 0.2317326666919228 0.4166390005920324 0.37070477618790587 0.7947868517774116 0.29249910394830575
0.3 0.68 0.0 4   0.15580965512052503 0.0 0.065017140624124 0.0 0.0 0.0421098514806172 0.04077720018997594 0.6521117692156908 0.8500993611870441 0.6190332024163315 0.8969437167169764 0.6352633550456634 7.64265193526176 10.070461612692059 0.22958799501100932 0.4304448214012871 0.37070477618521963 0.8281117554081125 0.29118106144110034
0.3 0.7 0.0 4   0.1558096551247996 0.0 0.06027750746040449 0.0 0.0 0.04203125874356882 0.040777200183580206 0.6504829884781081 0.8587608880597158 0.6190332024026876 0.9038025391949945 0.6344831304366964 7.617596826494294 10.070461612738947 0.22753982532510572 0.4459713695438973 0.3707047761849623 0.8647337185656216 0.28991832599750544
0.3 0.72 0.0 4   0.15580965512672448 0.0 0.0554494115401205 0.0 0.0 0.04195150608044264 0.04077720017890452 0.6487782132597689 0.867531049201581 0.6190332023876257 0.9106022827266852 0.6336635853109785 7.594564500558538 10.070461612829481 0.2255867518113993 0.4635566526453895 0.3707047761864166 0.9053151447894576 0.28871061226997513
0.3 0.74 0.0 4   0.15580965512773068 0.0 0.050504679030560766 0.0 0.0 0.04187041967254374 0.040777200174377345 0.6469947382948509 0.876437896290969 0.6190332023713828 0.9173649877626051 0.6328032808383142 7.573591122819229 10.070461612955265 0.223727683986973 0.48366998306985187 0.37070477619023495 0.9507690335196156 0.2875578721123084
0.3 0.76 0.0 4   0.15580965512684278 0.0 0.04542603198320893 0.0 0.0 0.041787645474092354 0.04077720017092944 0.6451250950400071 0.885528029081489 0.6190332023540271 0.924124532703782 0.6318984472384432 7.554758486482181 10.070461613108897 0.22196201762499052 0.5069938771989713 0.3707047761956251 1.0024143972253896 0.28646042916886383
0.3 0.78 0.0 4   0.1558096551236771 0.0 0.04017434550862564 0.0 0.0 0.041702522567050045 0.040777200169000154 0.6431536455351577 0.8948808926829999 0.6190332023341579 0.9309356220086769 0.6309412939655249 7.538225999057306 10.070461613325156 0.22028994616756503 0.5345859793526913 0.3707047762043744 1.0622828056724736 0.28541923019140253
0.3 0.8 0.0 4   0.15580965511802283 0.0 0.03466919051564599 0.0 0.0 0.04161379516466008 0.0407772001682463 0.6410488982189113 0.904641014193385 0.6190332023120715 0.9378941517280535 0.6299162029251011 7.524301772946586 10.070461613601193 0.2187131052979001 0.5682431303746573 0.3707047762153786 1.1338059819363924 0.284436376485718
0.3 0.82 0.0 4   0.1558096551091117 0.0 0.02874723522006128 0.0 0.0 0.04151881362245738 0.04077720016899596 0.6387422933831293 0.9151070556115715 0.6190332022861932 0.9451936973080681 0.6287892283348927 7.513635583969799 10.070461613947359 0.21723619162076252 0.6115007695290318 0.37070477623114445 1.2236985045570703 0.2835164891322257
0.3 0.84 0.0 4   0.1558096537813796 0.0 0.022096809063065766 0.0 0.0 0.04141036394565316 0.040777201029890166 0.636044277415601 0.9270847013218629 0.6190332015082807 0.9533501610428716 0.6274665822708917 7.5079681070463815 10.070461640512065 0.21587270151328658 0.6735681132814402 0.3707047774585078 1.3493504462364079 0.28267168020949335
0.3 0.86 0.0 4   0.15580965414638712 0.0 0.010447088399923032 0.0 0.0 0.04121862428282588 0.04077720082477029 0.6311158272068331 0.948338739541011 0.6190332023212478 0.967332452948605 0.6250391324673988 7.523350553726357 10.070461631330481 0.21472940247165176 0.8405804107006762 0.37070477704790045 1.672055463322951 0.28199908798369633
