0.4 0.44 0.0 2   0.041600878644331686 0.0 0.02431585562970295 0.0 0.0 -0.034341137517951585 -0.033270221393232775 0.8801716404230904 0.9141518861353741 0.8439592455683548 0.9229484696991712 0.8614866585061105 8.193495271899241 10.589791069961432 0.38826499392717134 0.5325924868392531 0.529898495980771 0.827874587320811 0.44872302346948256
0.4 0.46 0.0 2   0.04160087863064251 0.0 0.02257622155193983 0.0 0.0 -0.03433969939153254 -0.03327022138648613 0.8792073054162011 0.9173215944974323 0.8439592455619936 0.9267985955121832 0.8610582385693527 8.160354366449466 10.589791070277883 0.38359195699766246 0.5477542437426135 0.5298984959610429 0.8629650090920199 0.4462643213551668
0.4 0.48 0.0 2   0.04160087860928603 0.0 0.020705170695328734 0.0 0.0 -0.03433186775994004 -0.03327022138220248 0.8780366110362879 0.920680185780147 0.8439592455464446 0.9307706294045681 0.8605289740390951 8.132631508403206 10.589791071211202 0.37902555818508005 0.5657605525444559 0.5298984960027183 0.9026825502538086 0.44388677030948187
0.4 0.5 0.0 2   0.04160087857900956 0.0 0.018684306900967895 0.0 0.0 -0.03431662615613186 -0.033270221380860325 0.8766548804924503 0.9242718669731107 0.8439592455204361 0.9348879511963938 0.8598953874711786 8.110320115023542 10.589791072843521 0.3745654192602651 0.5872690199054577 0.5298984961137205 0.9481225193407224 0.4415853595380417
0.4 0.52 0.0 2   0.041600878538703506 0.0 0.01649025155106565 0.0 0.0 -0.034292682992499914 -0.03327022138296355 0.8750508541456687 0.9281544879024515 0.843959245482401 0.939184856365903 0.8591508586807504 8.09356281181849 10.589791075274377 0.3702116263464488 0.6132552572429049 0.5298984963036445 1.0008948352278544 0.43935632092855004
0.4 0.54 0.0 2   0.04160087848650637 0.0 0.014086906702237554 0.0 0.0 -0.034258296975585065 -0.033270221389194984 0.8732004446757464 0.9324120783769612 0.8439592454301219 0.9437169414341197 0.8582825865248214 8.082782161330352 10.589791078645844 0.3659644596541161 0.6452777721622659 0.5298984965861849 1.06354947762966 0.4371978187071013
0.4 0.56 0.0 2   0.04160087841953172 0.0 0.01140894045834062 0.0 0.0 -0.03421079978580332 -0.03327022140064434 0.8710521447612606 0.9371853135816075 0.8439592453598783 0.9485858841506959 0.8572644342320439 8.078977538880206 10.589791083196323 0.3618233890528989 0.6861120764676143 0.5298984969842834 1.1405910128202554 0.4351110092562053
0.4 0.58 0.0 2   0.04160087833125655 0.0 0.008315786943768888 0.0 0.0 -0.03414507171290256 -0.033270221419454966 0.8684834079330628 0.9427642220799911 0.8439592452639757 0.9540145377481184 0.8560354945077242 8.0845998445896 10.589791089421052 0.3577833148677585 0.741677159547706 0.5298984975454012 1.241549287329443 0.43310244426982675
0.4 0.6 0.0 2   0.04160087856183152 0.0 0.004326501146234563 0.0 0.0 -0.034045968525141614 -0.03327022169847478 0.8650869614157157 0.9500447160328539 0.8439592452034693 0.960718199901575 0.8543951116142345 8.107801286985195 10.58979109981721 0.3538129946667714 0.8305607919249474 0.529898500272349 1.3960993863634379 0.43119395400747906
0.4 0.4 0.0 3   0.03657676040778565 0.0 0.020737387880498392 0.0 0.0 6.058458679738456e-5 -3.761360146949868e-5 0.8726754047318652 0.9090253127183855 0.8437872650958081 0.9210364993021862 0.8578449328573127 8.881836861305825 10.913138012129238 0.4609936951445833 0.6172210813371767 0.5762410713672356 0.9068877516157592 0.5113185087018971
